epoch,f1,lr,signal_eff,signal_pur,step,total_eff,total_pur,train/backward_time_seconds,train/forward_time_seconds,train/forward_time_seconds_per_sample,train/step_time_seconds,train_loss,val_loss
0,,,,,49,,,0.0035991829354315996,0.030212420970201492,454283.34375,0.023564543575048447,0.009313611313700676,
0,0.00047459854977205396,0.0020000000949949026,0.23770765960216522,0.00023753645655233413,79,0.2384275197982788,0.0002386202395427972,,,,,,0.009030801244080067
1,,,,,99,,,0.0018722119275480509,0.03237224742770195,464811.71875,0.026100588962435722,0.011625430546700954,
1,,,,,149,,,0.0018238420598208904,0.02141447551548481,379649.71875,0.01907222531735897,0.012194281443953514,
1,0.002152298344299197,0.004000000189989805,0.783530056476593,0.0010776374256238341,159,0.783799946308136,0.0010796559508889914,,,,,,0.011251656338572502
2,,,,,199,,,0.001901234034448862,0.027537044137716293,459635.40625,0.0261984895914793,0.011573144234716892,
2,0.010238805785775185,0.0060000005178153515,0.9839400053024292,0.005146627780050039,239,0.9839261770248413,0.005154477432370186,,,,,,0.009216967038810253
3,,,,,249,,,0.0020428760908544064,0.030775541439652443,445451.125,0.029198313131928444,0.010314003564417362,
3,,,,,299,,,0.0018218220211565495,0.026480674743652344,455048.84375,0.02269429713487625,0.007579440716654062,
3,0.01855769008398056,0.00800000037997961,0.9914587736129761,0.00936792604625225,319,0.9914419054985046,0.009382168762385845,,,,,,0.008270574733614922
4,,,,,349,,,0.0032656071707606316,0.022307351231575012,386778.3125,0.019251147285103798,0.008705917745828629,
4,,,,,399,,,0.0033515889663249254,0.036209795624017715,467856.8125,0.033761851489543915,0.009901635348796844,
4,0.024148959666490555,0.009999998845160007,0.9850093126296997,0.012226749211549759,399,0.9848673939704895,0.012243757955729961,,,,,,0.008335495367646217
5,,,,,449,,,0.0018301819218322635,0.02826651744544506,451099.0625,0.024229995906352997,0.010555358603596687,
5,0.03500508889555931,0.009999998845160007,0.9890573620796204,0.0178217850625515,479,0.9890264272689819,0.017848577350378036,,,,,,0.007599005941301584
6,,,,,499,,,0.001801121048629284,0.022813351824879646,464026.53125,0.020206525921821594,0.010399733670055866,
6,,,,,549,,,0.003443799912929535,0.023154787719249725,446991.78125,0.020082471892237663,0.010936740785837173,
6,0.054371725767850876,0.009999998845160007,0.9896863102912903,0.027963006868958473,559,0.9896636009216309,0.02800527773797512,,,,,,0.007760749664157629
7,,,,,599,,,0.0035395720042288303,0.029876213520765305,434258.5,0.02500600926578045,0.007560328580439091,
7,0.06328372657299042,0.009999998845160007,0.9844017028808594,0.03270629793405533,639,0.9843600988388062,0.03275507315993309,,,,,,0.008627631701529026
8,,,,,649,,,0.003564842976629734,0.019437851384282112,418256.09375,0.016597392037510872,0.009333264082670212,
8,,,,,699,,,0.0036952649243175983,0.028299355879426003,493580.15625,0.027616195380687714,0.009193392470479012,
8,0.09548761695623398,0.009999998845160007,0.9800772666931152,0.05021488666534424,719,0.9800657033920288,0.050291113555431366,,,,,,0.007247832603752613
9,,,,,749,,,0.003525631967931986,0.021961254999041557,440411.96875,0.01873807981610298,0.008626910857856274,
9,,,,,799,,,0.0035523418337106705,0.024117033928632736,488244.125,0.02412751317024231,0.008206384256482124,
9,0.18054401874542236,0.007000000216066837,0.9947378039360046,0.09934298694133759,799,0.994719386100769,0.09949307143688202,,,,,,0.008010650053620338
10,,,,,849,,,0.004033020697534084,0.028846995905041695,472111.53125,0.3068014681339264,0.009956840425729752,
10,0.2095925509929657,0.007000000216066837,0.9949607849121094,0.1172160729765892,879,0.9949418902397156,0.11739323288202286,,,,,,0.008067401126027107
11,,,,,899,,,0.002010654890909791,0.027439001947641373,509056.40625,0.0238815788179636,0.008323349058628082,
11,,,,,949,,,0.0026697968132793903,0.027842048555612564,533940.5625,0.027406521141529083,0.007810819428414106,
11,0.21923291683197021,0.007000000216066837,0.9916732907295227,0.1233200803399086,959,0.9916594624519348,0.12350697815418243,,,,,,0.008480802178382874
12,,,,,999,,,0.0032111071050167084,0.023353349417448044,485711.9375,0.020757334306836128,0.007920512929558754,
12,0.2087211310863495,0.007000000216066837,0.9963539242744446,0.11664475500583649,1039,0.9963408708572388,0.11682163178920746,,,,,,0.007924303412437439
13,,,,,1049,,,0.0033056579995900393,0.023099595680832863,479142.59375,0.019880328327417374,0.008036457002162933,
13,,,,,1099,,,0.003521302016451955,0.024050641804933548,489591.9375,0.02406127378344536,0.007938327267765999,
13,0.24590405821800232,0.007000000216066837,0.9910557866096497,0.14045341312885284,1119,0.9910265803337097,0.14066430926322937,,,,,,0.008485178463160992
14,,,,,1149,,,0.0035207821056246758,0.028003601357340813,498793.0,0.02356536313891411,0.008039450272917747,
14,,,,,1199,,,0.0034769410267472267,0.021519707515835762,430442.65625,0.022018706426024437,0.008544898591935635,
14,0.2233947217464447,0.007000000216066837,0.9937869906425476,0.12593020498752594,1199,0.9937699437141418,0.12612056732177734,,,,,,0.007971066981554031
15,,,,,1249,,,0.0018373620696365833,0.027379879727959633,525824.0625,0.02359217405319214,0.008187771774828434,
15,0.22583608329296112,0.007000000216066837,0.9953197240829468,0.12745022773742676,1279,0.9953004121780396,0.12764272093772888,,,,,,0.008064954541623592
16,,,,,1299,,,0.0019069829722866416,0.02397667057812214,516293.5,0.02401610277593136,0.007563502062112093,
16,,,,,1349,,,0.0016906800447031856,0.022132767364382744,495825.90625,0.01981031894683838,0.009079376235604286,
16,0.2260146141052246,0.007000000216066837,0.9955342411994934,0.12756064534187317,1359,0.9955222010612488,0.12775425612926483,,,,,,0.007986531592905521
17,,,,,1399,,,0.001851822016760707,0.027235327288508415,526668.9375,0.02402024157345295,0.008452068082988262,
17,0.2298848181962967,0.007000000216066837,0.9949073791503906,0.13003239035606384,1439,0.994896411895752,0.13022983074188232,,,,,,0.008079465478658676
18,,,,,1449,,,0.0018083109753206372,0.022395482286810875,490009.53125,0.019817586988210678,0.009301038458943367,
18,,,,,1499,,,0.001601408002898097,0.027439391240477562,522752.125,0.024325337260961533,0.007967369630932808,
18,0.23437631130218506,0.007000000216066837,0.995589554309845,0.13290731608867645,1519,0.9955682754516602,0.13310758769512177,,,,,,0.008107742294669151
19,,,,,1549,,,0.0017961619887501001,0.02610536850988865,488443.59375,0.022902101278305054,0.009254383854568005,
19,,,,,1599,,,0.001841222052462399,0.023169446736574173,515420.1875,0.023969139903783798,0.008512834087014198,
19,0.25354060530662537,0.004900000523775816,0.9960468411445618,0.14536145329475403,1599,0.9960342645645142,0.145581915974617,,,,,,0.008310014382004738
20,,,,,1649,,,0.003965388983488083,0.02330227941274643,454290.3125,0.027204878628253937,0.007857340388000011,
20,0.26452553272247314,0.004900000523775816,0.9958966970443726,0.1526171714067459,1679,0.9958756566047668,0.15284742414951324,,,,,,0.00826047733426094
21,,,,,1699,,,0.002147566992789507,0.026813669130206108,489936.6875,0.05004879832267761,0.008039962500333786,
21,,,,,1749,,,0.0031984071247279644,0.02846997044980526,519284.0,0.024334236979484558,0.007763261906802654,
