profile	1.1.0	1.1.0-d53085b-sm_90	cpu_arch=x86_64,gpu_arch=sm_90,cuda_version=12.8.93	# Last updated Sat Mar 14 22:34:26 2026

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
  0.00699639	    0.432867	     97.2294	           8	 0.000874549	     48x48x48x48	N4quda4blas7axpbyz_IdEE	GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=8,Ns=4,Nc=3,order=0,N=2,TwistFlavor=1,n_rhs=1	# 437.03 Gflop/s, 3496.26 GB/s, tuning took 0.181796 seconds at Sat Mar 14 22:32:48 2026
  0.00410157	    0.253764	     97.4832	           6	 0.000683595	     48x48x48x48	N4quda4blas10multiaxpy_IdEE	GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=2,Ns=4,Nc=3,order=0,N=8,TwistFlavor=1,vol=5308416,parity=2,precision=8,Ns=4,Nc=3,order=0,N=2,TwistFlavor=1,Nxz=1,Nyw=1	# 372.74 Gflop/s, 3385.73 GB/s, tuning took 0.154894 seconds at Sat Mar 14 22:32:47 2026
  0.00356751	    0.220722	     97.7039	          13	 0.000274424	bytes=1019215872	cudaMemsetAsync	zero,color_spinor_field.cpp,398	# 0.00 Gflop/s, 3714.02 GB/s, tuning took 0.002244 seconds at Sat Mar 14 22:32:18 2026
  0.00343037	    0.212237	     97.9162	          12	 0.000285864	     48x48x48x48	N4quda4blas5Norm2IddEE	GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=8,Ns=4,Nc=3,order=0,N=2,TwistFlavor=1,n_rhs=1	# 891.35 Gflop/s, 3565.39 GB/s, tuning took 2.708478 seconds at Sat Mar 14 22:32:20 2026
  0.00285175	    0.176438	     98.0926	           8	 0.000356469	     48x48x48x48	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIsLi4ELi3ELb0ELb0ELb0EEENS2_IdLi4ELi3ELb0ELb0ELb0EEESt5tupleIJRNS_16ColorSpinorFieldERKS6_19QudaFieldLocation_sPsPKdEEEE	GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=8,Ns=4,Nc=3,order=0,N=2,TwistFlavor=1,vol=5308416,parity=2,precision=2,Ns=4,Nc=3,order=0,N=8,TwistFlavor=1	# 0.00 Gflop/s, 3633.56 GB/s, tuning took 0.076033 seconds at Sat Mar 14 22:32:29 2026
  0.00236164	    0.146115	     98.2387	           4	 0.000590411	     48x48x48x48	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIdLi4ELi3ELb0ELb0ELb0EEES3_St5tupleIJRNS_16ColorSpinorFieldERKS5_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=8,Ns=4,Nc=3,order=0,N=2,TwistFlavor=1,vol=5308416,parity=2,precision=8,Ns=4,Nc=3,order=0,N=2,TwistFlavor=1	# 0.00 Gflop/s, 3452.57 GB/s, tuning took 0.110098 seconds at Sat Mar 14 22:32:20 2026
  0.00193291	    0.119589	     98.3583	           1	  0.00193291	     48x48x48x48	N4quda9GaugePlaqIdLi3EL21QudaReconstructType_s12EEE	GPU-offline,large_kernel_arg,vol=5308416,stride=2654208,precision=8,geometry=4,Nc=3,order=0,N=2,r=0000	# 9837.38 Gflop/s, 1054.59 GB/s, tuning took 5.753804 seconds at Sat Mar 14 22:32:13 2026
  0.00192003	    0.118792	     98.4771	           1	  0.00192003	     48x48x48x48	N4quda12CloverInvertIdEE	GPU-offline,large_kernel_arg,vol=5308416precision=8Nc=3,order=0,N=2,twist=true	# 0.00 Gflop/s, 3185.00 GB/s, tuning took 9.216669 seconds at Sat Mar 14 22:32:00 2026
   0.0018503	    0.114478	     98.5916	           1	   0.0018503	     48x48x48x48	N4quda13ComputeCloverIdEE	GPU-offline,large_kernel_arg,vol=5308416precision=8Nc=3,order=0,N=2	# 1377.09 Gflop/s, 3764.05 GB/s, tuning took 0.189490 seconds at Sat Mar 14 22:31:40 2026
  0.00174828	    0.108166	     98.6997	           1	  0.00174828	     48x48x48x48	N4quda10CopyCloverINS_6clover8QDPOrderIdLi72EEENS1_11FloatNOrderIdLi72ELb0ELb0ELb0EEEddEE	GPU-offline,large_kernel_arg,vol=5308416precision=8Nc=3,order=0,N=2	# 0.00 Gflop/s, 3497.90 GB/s, tuning took 0.290353 seconds at Sat Mar 14 22:32:00 2026
  0.00168516	    0.104261	      98.804	           2	 0.000842581	     48x48x48x48	N4quda11SpinorNoiseIdLi4ELi3EEE	GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=8,Ns=4,Nc=3,order=0,N=2,TwistFlavor=1,gauss	# 0.00 Gflop/s, 1209.64 GB/s, tuning took 0.887333 seconds at Sat Mar 14 22:32:15 2026
  0.00159786	   0.0988596	     98.9029	           1	  0.00159786	     48x48x48x48	N4quda10CopyCloverINS_6clover11FloatNOrderIdLi72ELb0ELb0ELb0EEENS2_IdLi72ELb0ELb1ELb0EEEddEE	GPU-offline,large_kernel_arg,vol=5308416precision=8Nc=3,order=0,N=2	# 0.00 Gflop/s, 3401.94 GB/s, tuning took 0.388334 seconds at Sat Mar 14 22:31:49 2026
  0.00156431	   0.0967839	     98.9996	           1	  0.00156431	     48x48x48x48	N4quda10CopyCloverINS_6clover8QDPOrderIdLi72EEENS1_11FloatNOrderIdLi72ELb0ELb1ELb0EEEddEE	GPU-offline,large_kernel_arg,vol=5308416precision=8Nc=3,order=0,N=2	# 0.00 Gflop/s, 3474.90 GB/s, tuning took 0.284235 seconds at Sat Mar 14 22:31:48 2026
  0.00145421	   0.0899719	     99.0896	           6	 0.000242368	     48x48x48x48	N4quda4blas7axpbyz_IfEE	GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=2,Ns=4,Nc=3,order=0,N=8,TwistFlavor=1,n_rhs=1	# 1576.97 Gflop/s, 3416.76 GB/s, tuning took 0.052126 seconds at Sat Mar 14 22:33:01 2026
