epoch,f1,lr,signal_eff,signal_pur,step,total_eff,total_pur,train/events_per_second_epoch,train/events_per_second_step,train_loss,val_loss
0,,,,,49,,,,24.237497329711914,0.009540040045976639,
0,0.0007345617632381618,0.0020000000949949026,0.3481791913509369,0.00036766877747140825,79,0.34855204820632935,0.00036864582216367126,,,,0.009505128487944603
0,,,,,79,,,31.996938705444336,,,
1,,,,,99,,,,30.88968276977539,0.010527428239583969,
1,,,,,149,,,,38.4633903503418,0.010324464179575443,
1,0.0013569348957389593,0.004000000189989805,0.5941483974456787,0.0006792437052354217,159,0.5945537686347961,0.0006807834142819047,,,,0.010254652239382267
1,,,,,159,,,30.641443252563477,,,
2,,,,,199,,,,30.872337341308594,0.009698508307337761,
2,0.003840116085484624,0.0060000005178153515,0.9652937650680542,0.001923901028931141,239,0.965292751789093,0.0019269477343186736,,,,0.011119562201201916
2,,,,,239,,,31.35165023803711,,,
3,,,,,249,,,,38.47774887084961,0.007090727332979441,
3,,,,,299,,,,37.45457458496094,0.01054839976131916,
3,0.022511500865221024,0.00800000037997961,0.9791022539138794,0.011387563310563564,319,0.9790619611740112,0.01140511967241764,,,,0.008641052059829235
3,,,,,319,,,30.83666229248047,,,
4,,,,,349,,,,29.52997589111328,0.009235350415110588,
4,,,,,399,,,,33.941650390625,0.010159719735383987,
4,0.01363762654364109,0.009999998845160007,0.9810040593147278,0.006866747047752142,399,0.9808586835861206,0.006876583211123943,,,,0.00895826704800129
4,,,,,399,,,31.0172119140625,,,
5,,,,,449,,,,38.07310485839844,0.009563915431499481,
5,0.04160059243440628,0.009999998845160007,0.9903392791748047,0.02124987728893757,479,0.9903151392936707,0.02128307707607746,,,,0.007869401946663857
5,,,,,479,,,31.83908462524414,,,
6,,,,,499,,,,39.67959213256836,0.009997615590691566,
6,,,,,549,,,,29.968414306640625,0.008968237787485123,
6,0.1026250496506691,0.009999998845160007,0.9895855784416199,0.05413506180047989,559,0.9895716905593872,0.054220207035541534,,,,0.00842177402228117
6,,,,,559,,,32.76651382446289,,,
7,,,,,599,,,,33.258182525634766,0.009102449752390385,
7,0.16908951103687286,0.009999998845160007,0.9840213656425476,0.0925372987985611,639,0.9839832186698914,0.09268050640821457,,,,0.00847054086625576
7,,,,,639,,,34.0289306640625,,,
8,,,,,649,,,,32.11086654663086,0.007944542914628983,
8,,,,,699,,,,33.13750457763672,0.007870478555560112,
8,0.19166713953018188,0.009999998845160007,0.9911004900932312,0.10614325851202011,719,0.9910684823989868,0.10630829632282257,,,,0.008317576721310616
8,,,,,719,,,33.00246810913086,,,
9,,,,,749,,,,34.14830017089844,0.009852970018982887,
9,,,,,799,,,,32.73200607299805,0.008745934814214706,
9,0.15636834502220154,0.007000000216066837,0.9925863146781921,0.08491329848766327,799,0.9925907254219055,0.08504867553710938,,,,0.008191450498998165
9,,,,,799,,,33.43583679199219,,,
10,,,,,849,,,,34.38357925415039,0.007608691230416298,
10,0.216997429728508,0.007000000216066837,0.993412971496582,0.12186411768198013,879,0.9934085607528687,0.12205692380666733,,,,0.00814008992165327
10,,,,,879,,,34.70039367675781,,,
11,,,,,899,,,,41.703800201416016,0.007509443908929825,
11,,,,,949,,,,33.457523345947266,0.007601158693432808,
11,0.21923550963401794,0.007000000216066837,0.9937572479248047,0.12327980995178223,959,0.9937597513198853,0.1234758123755455,,,,0.008055613376200199
11,,,,,959,,,33.65653991699219,,,
12,,,,,999,,,,39.003326416015625,0.008436263538897038,
12,0.2176654040813446,0.007000000216066837,0.995470404624939,0.12225065380334854,1039,0.995470404624939,0.12244466692209244,,,,0.008017250336706638
12,,,,,1039,,,33.96289825439453,,,
13,,,,,1049,,,,41.8465576171875,0.00835334975272417,
13,,,,,1099,,,,34.35966873168945,0.008670523762702942,
13,0.228124737739563,0.007000000216066837,0.9946341514587402,0.12889590859413147,1119,0.9946354627609253,0.12910056114196777,,,,0.008201885037124157
13,,,,,1119,,,33.79462432861328,,,
14,,,,,1149,,,,43.59303665161133,0.00775077473372221,
14,,,,,1199,,,,32.864906311035156,0.008845415897667408,
14,0.24005213379859924,0.007000000216066837,0.9946798086166382,0.13656850159168243,1199,0.9946807622909546,0.13678520917892456,,,,0.008211635984480381
14,,,,,1199,,,33.30593490600586,,,
15,,,,,1249,,,,16.40683937072754,0.007967105135321617,
15,0.22794297337532043,0.007000000216066837,0.9941884279251099,0.12879258394241333,1279,0.994190514087677,0.1289970576763153,,,,0.008069751784205437
15,,,,,1279,,,33.49745178222656,,,
16,,,,,1299,,,,28.442787170410156,0.007866228930652142,
16,,,,,1349,,,,26.24993133544922,0.008983065374195576,
16,0.2356264293193817,0.007000000216066837,0.9948445558547974,0.13370230793952942,1359,0.9948453903198242,0.13391439616680145,,,,0.008103961125016212
16,,,,,1359,,,34.86233139038086,,,
17,,,,,1399,,,,35.30508804321289,0.007786511443555355,
