epoch,f1,lr,signal_eff,signal_pur,step,total_eff,total_pur,train/events_per_second_epoch,train/events_per_second_step,train_loss,val_loss
0,,,,,49,,,,32.87808609008789,0.009335633367300034,
0,0.000934314914047718,0.0020000000949949026,0.4252038896083832,0.00046767154708504677,79,0.42590707540512085,0.00046918782754801214,,,,0.00901433639228344
0,,,,,79,,,32.41508102416992,,,
1,,,,,99,,,,36.00602722167969,0.007966490462422371,
1,,,,,149,,,,31.473651885986328,0.01263139583170414,
1,0.0003269289736635983,0.004000000189989805,0.16717158257961273,0.00016362449969165027,159,0.16781215369701385,0.0001645116863073781,,,,0.009012601338326931
1,,,,,159,,,33.97482681274414,,,
2,,,,,199,,,,30.68324089050293,0.009762143716216087,
2,0.0005768766277469695,0.0060000005178153515,0.28810590505599976,0.00028872740222141147,239,0.28875023126602173,0.00028983084484934807,,,,0.009171898476779461
2,,,,,239,,,31.374935150146484,,,
3,,,,,249,,,,35.66795349121094,0.009678678587079048,
3,,,,,299,,,,36.65814208984375,0.008543483912944794,
3,0.0019466679077595472,0.00800000037997961,0.779333770275116,0.0009745524148456752,319,0.7794936895370483,0.0009762932313606143,,,,0.011960798874497414
3,,,,,319,,,30.46388053894043,,,
4,,,,,349,,,,30.019405364990234,0.010598142631351948,
4,,,,,399,,,,35.506187438964844,0.008521280251443386,
4,0.00416101049631834,0.009999998845160007,0.9808837175369263,0.0020849548745900393,399,0.9808212518692017,0.00208813464269042,,,,0.01070495042949915
4,,,,,399,,,31.078529357910156,,,
5,,,,,449,,,,35.08887481689453,0.009376402013003826,
5,0.0063256872817873955,0.009999998845160007,0.9873217344284058,0.0031730872578918934,479,0.9871847033500671,0.003177680540829897,,,,0.0103470329195261
5,,,,,479,,,30.844820022583008,,,
6,,,,,499,,,,36.35222625732422,0.009727751836180687,
6,,,,,549,,,,28.17082977294922,0.009470917284488678,
6,0.009040962904691696,0.009999998845160007,0.981025218963623,0.004541577771306038,559,0.9808947443962097,0.004548165947198868,,,,0.010715006850659847
6,,,,,559,,,30.912914276123047,,,
7,,,,,599,,,,29.826404571533203,0.009785549715161324,
7,0.009114035405218601,0.009999998845160007,0.9849098920822144,0.004578345455229282,639,0.9848638772964478,0.004585402086377144,,,,0.009829794988036156
7,,,,,639,,,31.092060089111328,,,
8,,,,,649,,,,31.439828872680664,0.009444943629205227,
8,,,,,699,,,,29.788936614990234,0.009239846840500832,
8,0.009738628752529621,0.009999998845160007,0.9895413517951965,0.004893585108220577,719,0.9894943237304688,0.004901119973510504,,,,0.009635121561586857
8,,,,,719,,,30.860288619995117,,,
9,,,,,749,,,,31.014352798461914,0.01178093533962965,
9,,,,,799,,,,30.29737663269043,0.009664521552622318,
9,0.006400637328624725,0.007000000216066837,0.9899409413337708,0.003210758324712515,799,0.9898872375488281,0.003215676173567772,,,,0.01058249082416296
9,,,,,799,,,30.89542579650879,,,
10,,,,,849,,,,30.847545623779297,0.009220048785209656,
10,0.008600403554737568,0.007000000216066837,0.9896268844604492,0.0043191080912947655,879,0.9895638227462769,0.004325686953961849,,,,0.009701758623123169
10,,,,,879,,,30.648639678955078,,,
11,,,,,899,,,,35.99541473388672,0.009485140442848206,
11,,,,,949,,,,29.657466888427734,0.008787957951426506,
11,0.010138866491615772,0.007000000216066837,0.9875265955924988,0.005095807369798422,959,0.9874745607376099,0.005103628616780043,,,,0.00951039232313633
11,,,,,959,,,30.44013786315918,,,
12,,,,,999,,,,29.703346252441406,0.010069219395518303,
12,0.009725963696837425,0.007000000216066837,0.9923202395439148,0.004887119401246309,1039,0.9923082590103149,0.004894820973277092,,,,0.009153172373771667
12,,,,,1039,,,30.977746963500977,,,
13,,,,,1049,,,,35.8492317199707,0.009126673452556133,
13,,,,,1099,,,,31.283775329589844,0.00925232283771038,
